bioguide_id,Name,problem_solvers,bipartisan_working_group,for_country,congressional_future,caucus_sum
C001112,Salud Carbajal,1,0,0,0,1
C001055,Ed Case,1,0,0,0,1
C001059,Jim Costa,1,0,0,0,1
C001119,Angie Craig,1,0,0,0,1
C001063,Henry Cuellar,1,0,0,1,2
D000230,Don Davis,1,0,1,0,2
D000624,Debbie Dingell,1,0,0,0,1
G000600,Marie Gluesenkamp Perez,1,0,0,1,2
G000592,Jared Golden,1,0,1,0,2
G000583,Josh Gottheimer,1,0,0,0,1
H001090,Josh Harder,1,0,0,0,1
H001066,Steven Horsford,1,0,0,0,1
H001085,Chrissy Houlahan,1,0,1,0,2
K000380,Dan Kildee,1,0,0,0,1
L000601,Greg Landsman,1,0,1,0,2
L000590,Susie Lee,1,0,0,0,1
N000194,Wiley Nickel,1,0,0,0,1
N000188,Donald Norcross,1,0,0,0,1
P000613,Jimmy Panetta,1,0,1,0,2
P000614,Chris Pappas,1,0,0,0,1
P000608,Scott Peters,1,0,0,0,1
P000620,Brittany Pettersen,1,0,0,0,1
P000616,Dean Phillips,1,0,0,0,1
P000619,Mary Peltola,1,0,1,0,2
S001190,Brad Schneider,1,0,0,0,1
S001221,Hillary Scholten,1,0,0,0,1
S001208,Elissa Slotkin,1,0,0,0,1
S001200,Darren Soto,1,0,0,1,2
S001209,Abigail Spanberger,1,0,1,0,2
S001215,Haley Stevens,1,0,0,1,2
S001223,Emilia Sykes,1,0,0,0,1
T000483,David Trone,1,0,0,0,1
B001298,Don Bacon,1,0,1,0,2
C001135,Lori Chavez-DeRemer,1,0,0,0,1
C001133,Juan Ciscomani,1,0,0,0,1
C001118,Ben Cline,1,0,0,0,1
C001114,John Curtis,1,0,0,0,1
D000632,Anthony D'Esposito,1,0,1,0,2
E000246,Chuck Edwards,1,0,1,0,2
F000466,Brian Fitzpatrick,1,0,1,0,2
G000597,Andrew Garbarino,1,0,0,1,2
G000594,Tony Gonzales,1,0,1,0,2
J000307,John James,1,0,1,0,2
J000301,Dusty Johnson,1,0,0,0,1
J000295,David Joyce,1,0,0,0,1
K000398,Thomas Kean Jr.,1,0,0,0,1
K000397,Young Kim,1,0,0,0,1
L000598,Nick LaLota,1,0,1,0,2
L000599,Mike Lawler,1,0,0,0,1
M000317,Nicole Malliotakis,1,0,0,1,2
M001204,Daniel Meuser,1,0,0,0,1
M001221,Marc Molinaro,1,0,0,0,1
M001213,Blake Moore,1,0,0,1,2
S000168,Maria Elvira Salazar,1,0,0,0,1
S001213,Bryan Steil,1,0,0,1,2
V000129,David Valadao,1,0,0,0,1
W000828,Brandon Williams,1,0,0,0,1
K000381,Derek Kilmer,0,1,0,0,1
R000609,John Rutherford,0,1,0,0,1
M001196,Seth Moulton,0,1,0,0,1
A000369,Mark Amodei,0,1,1,0,2
B001282,Andy Barr,0,1,0,0,1
B001275,Larry Bucshon,0,1,0,0,1
K000376,Mike Kelly,0,1,0,0,1
N000189,Dan Newhouse,0,1,0,0,1
S001196,Elise Stefanik,0,1,0,1,2
W000806,Daniel Webster,0,1,0,0,1
C001121,Jason Crow,0,0,1,0,1
W000823,Michael Waltz,0,0,1,0,1
M001215,Mariannette Miller-Meeks,1,0,1,0,2
S001207,Mikie Sherrill,1,0,1,0,2
B001307,Jim Baird,0,0,1,1,2
B001301,Jack Bergman,0,0,1,0,1
B000490,Sanford Bishop,0,0,1,0,1
D000530,Chris Deluzio,0,0,1,0,1
E000071,Jake Ellzey,1,0,1,0,2
F000472,Scott Franklin,1,0,1,0,2
J000308,Jeff Jackson,0,0,1,0,1
L000603,Morgan Luttrell,0,0,1,0,1
M001199,Brian Mast,0,0,1,1,2
M001218,Rich McCormick,0,0,1,0,1
N000193,Zach Nunn,0,0,1,0,1
P000048,August Pfluger,1,0,1,0,2
R000579,Pat Ryan,0,0,1,0,1
S001214,Greg Steube,1,0,1,0,2
W000815,Brad Wenstrup,0,0,1,0,1
W000809,Steve Womack,0,0,1,0,1
J000305,Sara Jacobs,0,0,0,1,1
B001299,Jim Banks,0,0,1,1,2
B001300,Nanette Barragán,0,0,0,1,1
B001296,Brendan Boyle,0,0,0,1,1
C001072,André Carson,0,0,0,1,1
C001091,Joaquin Castro,0,0,0,1,1
G000574,Ruben Gallego,0,0,0,1,1
G000589,Lance Gooden,0,0,0,1,1
J000294,Hakeem Jeffries,0,0,0,1,1
K000389,Ro Khanna,0,0,0,1,1
M001188,Grace Meng,0,0,0,1,1
N000191,Joe Neguse,0,0,0,1,1
S001195,Jason Smith,0,1,0,1,2
S001193,Eric Swalwell,0,0,0,1,1
V000081,Nydia Velázquez,0,0,0,1,1
