bioguide_id,Name,Common Sense Coalition,caucus_sum
C001035,Susan Collins,1,1
C001047,Shelley Moore Capito,1,1
C001075,Bill Cassidy,1,1
C001088,Chris Coons,1,1
D000563,Dick Durbin,1,1
G000359,Lindsey Graham,1,1
H001076,Maggie Hassan,1,1
H000273,John Hickenlooper,1,1
K000384,Tim Kaine,1,1
K000377,Mark Kelly,1,1
K000383,Angus King,1,1
K000367,Amy Klobuchar,1,1
M001183,Joe Manchin,1,1
M001153,Lisa Murkowski,1,1
P000595,Gary Peters,1,1
R000615,Mitt Romney,1,1
R000605,Mike Rounds,1,1
S001181,Jeanne Shaheen,1,1
S001191,Kyrsten Sinema,1,1
T000464,Jon Tester,1,1
T000476,Thom Tillis,1,1
W000154,Mark Warner,1,1
Y000064,Todd Young,1,1
